customer_id,age,gender,city,employment_type,annual_income,credit_score,existing_loans_count,loan_purpose,loan_amount,loan_tenure_months,interest_rate_pct,disbursement_date,loan_to_income_ratio,days_past_due,loan_status,is_default
CUST100000,59,Male,Bengaluru,Salaried,328000.0,775,2,Personal,463000,48,12.79,2021-01-31,1.41,0,Active,0
CUST100001,49,Male,Mumbai,Self-Employed,544000.0,655,2,Business,444000,36,14.97,2024-05-30,0.82,0,Closed,0
CUST100002,35,Female,Chennai,Salaried,259000.0,553,0,Home,320000,60,14.77,2022-02-23,1.24,0,Closed,0
CUST100003,63,Male,Bengaluru,Salaried,567000.0,746,1,Home,1382000,48,12.51,2025-03-03,2.44,96,Default,1
CUST100004,28,Male,Noida,Salaried,366000.0,599,2,Personal,412000,48,9.23,2023-01-23,1.13,0,Active,0
CUST100005,41,Male,Gurugram,Self-Employed,1248000.0,781,0,Education,532000,48,10.38,2022-11-21,0.43,108,Default,1
CUST100006,59,Male,Hyderabad,Salaried,353000.0,634,0,Personal,340000,240,13.36,2023-08-27,0.96,0,Active,0
CUST100007,39,Female,Mohali,Salaried,873000.0,508,1,Education,174000,60,11.08,2023-05-12,0.2,0,Active,0
CUST100008,43,Male,Pune,Salaried,597000.0,800,0,Personal,615000,48,10.52,2024-09-19,1.03,0,Closed,0
CUST100009,31,Male,Gurugram,Business Owner,418000.0,580,0,Home,465000,12,9.75,2023-07-09,1.11,73,Default,1
CUST100010,31,Female,Chandigarh,Salaried,1316000.0,631,0,Credit Card Consolidation,957000,24,10.56,2025-10-03,0.73,173,Default,1
CUST100011,44,Female,Chandigarh,Salaried,539000.0,622,0,Education,119000,120,14.88,2021-01-22,0.22,0,Closed,0
CUST100012,56,Female,Pune,Salaried,693000.0,636,1,Auto,542000,180,10.23,2024-04-02,0.78,66,Default,1
CUST100013,60,Male,Delhi,Salaried,484000.0,693,1,Personal,252000,12,10.96,2021-04-05,0.52,0,Closed,0
CUST100014,44,Male,Hyderabad,Self-Employed,341000.0,773,1,Home,638000,24,7.96,2025-03-15,1.87,0,Active,0
CUST100015,23,Female,Delhi,Salaried,1109000.0,518,1,Credit Card Consolidation,818000,120,11.68,2021-12-14,0.74,0,Active,0
CUST100016,42,Male,Mumbai,Salaried,792000.0,664,0,Personal,542000,24,15.06,2024-08-06,0.68,0,Active,0
CUST100017,22,Female,Pune,Salaried,405000.0,763,1,Home,546000,12,8.32,2025-02-28,1.35,0,Active,0
CUST100018,44,Male,Mumbai,Salaried,425000.0,684,0,Personal,356000,120,13.45,2025-08-26,0.84,0,Closed,0
