customer_id,age,gender,city,employment_type,annual_income,credit_score,credit_band,existing_loans_count,loan_purpose,loan_amount,loan_tenure_months,interest_rate_pct,disbursement_date,loan_to_income_ratio,days_past_due,loan_status,is_default,predicted_default_prob,risk_segment
CUST100000,59,Male,Bengaluru,Salaried,328000.0,775,Very Good,2,Personal,463000,48,12.79,2021-01-31,1.41,0,Active,0,0.358,Medium Risk
CUST100001,49,Male,Mumbai,Self-Employed,544000.0,655,Fair,2,Business,444000,36,14.97,2024-05-30,0.82,0,Closed,0,0.602,Very High Risk
CUST100002,35,Female,Chennai,Salaried,259000.0,553,Poor,0,Home,320000,60,14.77,2022-02-23,1.24,0,Closed,0,0.446,High Risk
CUST100003,63,Male,Bengaluru,Salaried,567000.0,746,Very Good,1,Home,1382000,48,12.51,2025-03-03,2.44,96,Default,1,0.633,Very High Risk
CUST100004,28,Male,Noida,Salaried,366000.0,599,Fair,2,Personal,412000,48,9.23,2023-01-23,1.13,0,Active,0,0.52,High Risk
CUST100005,41,Male,Gurugram,Self-Employed,1248000.0,781,Very Good,0,Education,532000,48,10.38,2022-11-21,0.43,108,Default,1,0.395,Medium Risk
CUST100006,59,Male,Hyderabad,Salaried,353000.0,634,Fair,0,Personal,340000,240,13.36,2023-08-27,0.96,0,Active,0,0.449,High Risk
CUST100007,39,Female,Mohali,Salaried,873000.0,508,Poor,1,Education,174000,60,11.08,2023-05-12,0.2,0,Active,0,0.53,High Risk
CUST100008,43,Male,Pune,Salaried,597000.0,800,Excellent,0,Personal,615000,48,10.52,2024-09-19,1.03,0,Closed,0,0.313,Medium Risk
CUST100009,31,Male,Gurugram,Business Owner,418000.0,580,Fair,0,Home,465000,12,9.75,2023-07-09,1.11,73,Default,1,0.639,Very High Risk
CUST100010,31,Female,Chandigarh,Salaried,1316000.0,631,Fair,0,Credit Card Consolidation,957000,24,10.56,2025-10-03,0.73,173,Default,1,0.483,High Risk
